blockseq,cue,probe,resp,con,con_2.thisRepN,con_2.thisTrialN,con_2.thisN,con_2.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,instr_text2.started,instr_text2.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,polygon.started,polygon.stopped,duration,cue_text2.started,cue_text2.stopped,kp_text2.started,kp_text2.stopped,probe_text2.started,probe_text2.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_2.started,image_2.stopped,fd_text2.started,fd_text2.stopped,rest_text2.started,rest_text2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,name,baseline_rt,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,36.3995326,None,space,34.949459,36.8663564,None,,,,,,,,,,,,,,,,,,,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,X,right,1,0,0,0,0,0,0,0,4,,,,,,,71.9128243,None,0.6,72.5298932,72.8310483,72.8141845,74.8140503,74.8140503,75.1153601,right,1,0.0976524,75.1153601,None,75.297557,None,75.297557,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,X,right,1,0,0,0,0,0,1,1,0,,,,,,,76.2990888,None,0.492,76.7990205,77.0991745,77.0825555,79.0834149,79.0834149,79.3823347,right,1,0.063096,79.3823347,None,79.5163518,None,79.5163518,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,X,right,1,0,0,0,0,0,2,2,2,,,,,,,80.5168861,None,0.594,81.1169669,81.4164044,81.399753,83.4008122,83.4008122,83.7011802,right,1,0.029842,83.7011802,None,83.768371,None,83.768371,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,X,right,1,0,0,0,0,0,3,3,1,,,,,,,84.7676367,None,0.781,85.5523966,85.851927,85.8349745,87.8366634,87.8366634,88.1359909,right,1,0.0358332,88.1359909,None,88.2189141,None,88.2189141,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,B,X,left,3,0,0,0,0,0,4,4,8,,,,,,,89.2207882,None,0.618,89.8533645,90.1537577,90.1369661,92.1383783,92.1383783,92.4379448,left,1,0.1414848,92.4379448,None,92.6209349,92.6209349,92.6209349,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,Y,left,2,0,0,0,0,0,5,5,7,,,,,,,93.6222724,None,0.695,94.32453,94.6242413,94.6242413,96.6243773,96.6243773,96.9250416,left,1,0.6648833,96.9250416,None,97.6233142,97.6233142,97.6233142,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,Y,left,2,0,0,0,0,0,6,6,7,,,,,,,98.624045,None,0.686,99.3243265,99.6235354,99.6073029,101.6143653,101.6143653,101.9246673,left,1,0.1274984,101.9081931,None,102.0750265,None,102.0750265,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,X,right,1,0,0,0,0,0,7,7,4,,,,,,,103.0751765,None,0.622,103.7095657,104.0251127,103.9919127,105.993504,105.993504,106.2927434,right,1,0.1810131,106.2927434,None,106.5093736,106.5093736,106.5093736,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,Y,left,2,0,0,0,0,0,8,8,7,,,,,,,107.5098135,None,0.461,107.9774663,108.2776976,108.2612353,110.2609945,110.2609945,110.5619996,left,1,0.2396915,110.5619996,None,110.844521,110.844521,110.844521,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,X,right,1,0,0,0,0,0,9,9,2,,,,,,,111.8457202,None,0.681,112.5284935,112.8295212,112.8129641,114.8138179,114.8138179,115.1292676,right,1,0.0371222,115.1130594,None,115.2305887,None,115.2305887,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,B,Y,left,4,0,0,0,0,1,0,10,9,,,,,,,116.229814,None,0.595,116.8298371,117.1312401,117.1143881,119.1145153,119.1145153,119.4142987,left,1,0.0271467,119.4142987,None,119.4810824,None,119.4810824,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,X,right,1,0,0,0,0,1,1,11,6,,,,,,,120.4845828,None,0.467,120.9514438,121.2509017,121.2339725,123.2348952,123.2348952,123.535161,right,1,0.1171991,123.535161,None,123.7176886,None,123.7176886,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,B,X,left,3,0,0,0,0,1,2,12,8,,,,,,,124.7193586,None,0.511,125.2365787,125.5368151,125.5201011,127.5201042,127.5201042,127.8207432,left,1,0.5147815,127.8207432,None,128.3687779,128.3687779,128.3687779,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,X,right,1,0,0,0,0,1,3,13,3,,,,,,,129.3690249,None,0.528,129.9015979,130.2023321,130.1856063,132.1858293,132.1858293,132.4858456,right,1,0.18096,132.4858456,None,132.6875083,132.6875083,132.6875083,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,B,X,left,3,0,0,0,0,1,4,14,8,,,,,,,133.6890557,None,0.623,134.3227553,134.6224495,134.6058721,136.606992,136.606992,136.9074731,left,1,0.103603,136.9074731,None,137.0542695,None,137.0542695,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,B,X,left,3,0,0,0,0,1,5,15,8,,,,,,,138.0546698,None,0.664,138.7227449,139.022736,139.0061855,141.006082,141.006082,141.3069673,left,1,0.015374,141.3069673,None,141.3898274,None,141.3898274,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
1st,A,X,right,1,0,0,0,0,1,6,16,4,,,,,,,142.3923618,None,0.605,143.0086843,143.3092005,143.292606,145.2927969,145.2927969,145.5935106,right,1,0.0408187,145.5935106,None,145.6744396,None,145.6744396,None,,,,,,,12,…Í“ªΩ‹,0.1379,2022_Aug_12_1858,Ω±…Õ∑¥¿°,2021.1.4,59.93418035
